company,inn,title,description,requirements,age_days,posts_per_day,ip_blacklisted,complaints,label
ООО Тинькофф,6663836150,Backend-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",686,3,0,0,0
ООО 1С,2716445565,Python-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт от 3 лет, профильное образование, знание английского.",506,4,0,0,0
ООО Тинькофф,8146774189,Product Manager,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт от 3 лет, профильное образование, знание английского.",1767,1,0,0,0
АО ВТБ,1838637946,Менеджер проектов,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",3495,0,0,0,0
АО Лаборатория Касперского,5807279102,Системный администратор,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт администрирования Linux, знание сетей, ответственность.",1075,5,0,0,0
ООО КРОК,2284971857,Менеджер проектов,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт от 3 лет, профильное образование, знание английского.",3049,4,0,0,0
ООО 1С,5377294201,Backend-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",2633,2,0,0,0
ООО Золотая Жила,3537657692,"Требуются люди, оплата ежедневно","СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!","Возраст от 18 лет, наличие телефона.",58,41,1,10,1
ООО КРОК,9276153963,Менеджер проектов,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",3392,3,0,0,0
ООО КРОК,4256216895,Python-разработчик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Портфолио, опыт коммерческой разработки, знание Git.",2742,5,0,0,0
ООО Деньги Сразу,6031219805,"Требуются люди, оплата ежедневно",Заработок от 100000 рублей в неделю! Никакого опыта не нужно. Обучим бесплатно. Оплата ежедневно. Пишите в WhatsApp. Количество мест ограничено!,Без опыта! Обучим всему за 1 день!,16,15,1,6,1
ООО МТС,6699611256,Backend-разработчик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1114,2,0,0,0
ООО 1С,5489061205,Технический писатель,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",1062,2,0,0,0
ПАО Ростелеком,1811556263,Python-разработчик,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",431,3,0,0,0
АО Лаборатория Касперского,3088547499,Frontend-разработчик,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Портфолио, опыт коммерческой разработки, знание Git.",2911,1,0,0,0
ООО КРОК,7569998808,Data Scientist,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2312,0,0,0,0
АО Лаборатория Касперского,5735977465,Менеджер проектов,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",2239,4,0,0,0
АО Лаборатория Касперского,6401938028,Backend-разработчик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Портфолио, опыт коммерческой разработки, знание Git.",1891,1,0,0,0
ООО 1С,9320679980,Бизнес-аналитик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Портфолио, опыт коммерческой разработки, знание Git.",548,1,0,0,0
ПАО Сбербанк,7501673183,Python-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",2286,1,0,0,0
ИП Сидоров,8805555727,Работа мечты — 200000 руб/неделю,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,"Возраст от 18 лет, наличие телефона.",54,41,0,10,1
ООО Skillbox,9515879967,Frontend-разработчик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2941,5,0,0,0
ООО Skillbox,2398373547,Бизнес-аналитик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт от 3 лет, профильное образование, знание английского.",242,1,0,0,0
ПАО Ростелеком,3268018247,Frontend-разработчик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",854,1,0,0,0
ООО Деньги Сразу,2911359966,Работа мечты — 200000 руб/неделю,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!",Срочно! Наличие свободного времени.,45,12,1,9,1
ПАО Сбербанк,4218401181,Python-разработчик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",1402,2,0,0,0
ООО МТС,1954930590,Python-разработчик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Портфолио, опыт коммерческой разработки, знание Git.",1957,3,0,0,0
ИП Петров А.А.,7185174460,Работа мечты — 200000 руб/неделю,Заработок от 100000 рублей в неделю! Никакого опыта не нужно. Обучим бесплатно. Оплата ежедневно. Пишите в WhatsApp. Количество мест ограничено!,"Возраст от 18 лет, наличие телефона.",1,28,1,4,1
ПАО Ростелеком,3252677117,QA-инженер,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт от 3 лет, профильное образование, знание английского.",2546,3,0,0,0
АО Лаборатория Касперского,3060385054,Менеджер проектов,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",185,5,0,0,0
ИП Иванов,5489880315,Подработка для всех,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,"Возраст от 18 лет, наличие телефона.",15,45,1,10,1
ООО Работа Мечты,1149118941,Набор менеджеров без опыта,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,"Возраст от 18 лет, наличие телефона.",34,28,0,5,1
ООО Золотая Жила,6864496392,"Свободный график, оплата сразу","Работа мечты! Гибкий график, высокая оплата, без начальников. Требуются люди с 18 лет. Оплата сразу после смены. Подробности в личные сообщения.","Возраст от 18 лет, наличие телефона.",51,28,0,7,1
ПАО Газпром,5904712811,Frontend-разработчик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт от 3 лет, профильное образование, знание английского.",3390,2,0,0,0
ООО Тинькофф,4105927456,Технический писатель,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",935,1,0,0,0
ООО МТС,3418938983,Data Scientist,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт от 3 лет, профильное образование, знание английского.",1458,3,0,0,0
ООО Яндекс,7867177317,Backend-разработчик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт от 3 лет, профильное образование, знание английского.",2467,0,0,0,0
ПАО Ростелеком,5902504291,Data Scientist,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",284,0,0,0,0
АО ВТБ,7613315524,Бизнес-аналитик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",241,3,0,0,0
АО Альфа-Банк,5519832730,Python-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",3650,0,0,0,0
ООО Деньги Сразу,7964546552,"Свободный график, оплата сразу",Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Никаких навыков не требуется!,57,25,1,10,1
ООО Деньги Сразу,1392355580,Заработок из дома 100000 руб/день,"Работа мечты! Гибкий график, высокая оплата, без начальников. Требуются люди с 18 лет. Оплата сразу после смены. Подробности в личные сообщения.","Ответственность, желание зарабатывать, без опыта.",39,48,1,3,1
АО ВТБ,2266201573,Технический писатель,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Портфолио, опыт коммерческой разработки, знание Git.",915,0,0,0,0
ООО Skillbox,9275539428,Технический писатель,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт от 3 лет, профильное образование, знание английского.",3236,5,0,0,0
ООО Тинькофф,4662543616,Python-разработчик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт от 3 лет, профильное образование, знание английского.",2194,1,0,0,0
ООО 1С,5118244931,QA-инженер,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",3119,2,0,0,0
ООО Тинькофф,1320204171,Backend-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт администрирования Linux, знание сетей, ответственность.",2683,1,0,0,0
АО Лаборатория Касперского,8733294564,Аналитик данных,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Портфолио, опыт коммерческой разработки, знание Git.",931,5,0,0,0
ПАО Ростелеком,1663370505,DevOps-инженер,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Портфолио, опыт коммерческой разработки, знание Git.",3036,5,0,0,0
ООО Лёгкий Заработок,1014188421,Заработок из дома 100000 руб/день,Заработок от 100000 рублей в неделю! Никакого опыта не нужно. Обучим бесплатно. Оплата ежедневно. Пишите в WhatsApp. Количество мест ограничено!,Никаких навыков не требуется!,59,37,0,2,1
ПАО Газпром,3290147671,Бизнес-аналитик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт от 3 лет, профильное образование, знание английского.",2666,3,0,0,0
ООО Яндекс,5004991545,Data Scientist,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",2041,5,0,0,0
АО Альфа-Банк,8261493316,Аналитик данных,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1789,1,0,0,0
ООО Яндекс,8240559340,Аналитик данных,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",711,4,0,0,0
ООО МТС,3386922219,Системный администратор,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",2676,3,0,0,0
ПАО Газпром,8350208024,Backend-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",598,2,0,0,0
ООО МТС,7561248151,Аналитик данных,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт администрирования Linux, знание сетей, ответственность.",1903,4,0,0,0
ИП Сидоров,8514743974,Срочно! Набор сотрудников,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,"Ответственность, желание зарабатывать, без опыта.",10,47,0,7,1
ООО Лёгкий Заработок,9358328634,Набор менеджеров без опыта,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,Без опыта! Обучим всему за 1 день!,51,20,1,7,1
ИП Сидоров,5096003562,"Требуются люди, оплата ежедневно",Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Без опыта! Обучим всему за 1 день!,16,24,1,7,1
ООО Skillbox,8017157727,Системный администратор,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",1336,2,0,0,0
